Kata_slang;Kata_baku
head;kepala
hepi;senang
heran;bingung
high pressing direct football;sepak bola langsung dengan tekanan tinggi
hit;terpopuler
hits;terkini
hng;hingga
hny;hanya
hnya;hanya
hoak;palsu
hoaks;palsu
hoax;palsu
hp;ponsel
hrga;harga
hrs;harus
hrsnya;harusnya
hy;hanya
ig;instagram
ikutin;ikuti
impich;mimpi
indo;indonesia
infrastruktur;prasarana
inget;ingat
initu;ini
insert;memasukan
inspeksi;pemeriksaan
install;pasang
inti;utama
intrik;kabar bohong
iow;dengan kata lain
ipon;iphone
ir;insinyur
isine;isinya
iso;bisa
issu;isu
issue;isu
isue;isu
isuenya;isunya
isyu;isu
it;itu
iy;ya
jadual;jadwal
jadul;lama 
jajaheun;jajahan
jane;katanya
jbtn;jabatan
jd;jadi
jdi;jadi
jdnya;jadinya
jengkelin;menjengkelkan
jerat;kena
jeung;sama
jg;juga
jga;juga
jgan;jangan
jgn;jangan
jidat;dahi
jigana;sepertinya
jikowi;jokowi
jk; jika
jkw;jokowi
jl;jalan
jln;jalan
jlnan;jalanan
jls;jelas
jng;jangan
jngn;jangan
join;gabung
jokes;bercanda
jowoki;jokowi
jujurly;sejujurnya
justivikasi;pembenaran
jutek;galak
kab;kabupaten
kabare;kabarnya
kabeh;semua
kacau;hancur
kadron;kadrun 
kaga;engga
kagak;tidak
kalo;kalau
kamseupay;kampungan
karn;karena
karna;karena
kau;anda
kawanbinnya;kawan binaannya
kaya;seperti
kayak;seperti
kayaknya;sepertinya
kbr;kabar
kca;kaca
kdg;kadang
kdrun;kadrun 
kebalik;terbalik
kebebesan;kebebasan
kebelet;tidak tahan
kebo;kerbau
kedah;terbuka lebar
kekacaun;kekacauan
keknya;sepertinya
keles;kali
keleus;kali
kelojot;kejang
kemaren;kemarin
kena;sentuh
kepilih;terpilih
kepla;kepala
kepo;penasaran
kerawat;pelihara
kere;miskin
ketat;erat
ketidak;tidak
ketok;ketuk
kgk;tidak
ki;semua
kian;semakin
kicep;diam
kickoff;mulai
king;raja
kipak;bohong
kiro;kira
kk;kakak
kl;kalau
klau;kalau
klean;kalian
klo;kalau
klon;duplikat
klrg;keluarga
klu;kalau
km;kamu
kmbali;kembali
kmdn;kemudian
kmn;kemana
kmren;kemarin
kmrn;kemarin
kn;kan
knapa;kenapa
know;tahu
knp;kenapa
knpa;kenapa
koar;teriak
kocak;lucu
koe;kamu
koen;kamu
kompetisi;persaingan
kongkow;kumpul kumpul
kontinyu;berlanjut
kontra;lawan
korbankn;korbankan
kowe;kamu
koyok;seperti
kpd;kepada
kpn;kapan
kpnstitusi;konstitusi
krja;kerja
krl;kereta rel listrik
krn;karena
krna;karena
ksh;kasih
ktika;ketika
ktny;katanya
kucau;kacau
kudu;harus
kumkeb;kumpul kebo
kunaon;kenapa
kuping;telinga
kuyo;hina
kyk;seperti
kyok;seperti
kzl;kesal
lagsg;langsung
laporin;laporkan
laporke;laporin
layak;pantas
lebay;berlebihan
lebeh;berlebihan
lengser;turun
lengserin;lengser
lg;lagi
lgi;lagi
lgs;langsung
lgsg;langsung
lgsug;langsung
lgsung;langsung
lht;lihat
liat;lihat
link;tautan
lip;bibir
lnjut;lanjut
lo;kamu
lobbaaaaaaaaaaaaaa;banyak
loe;kamu
lol;tertawa
lord;tuan
love;cinta
lu;kamu
luck;sukses
lugu;banyak tingkah
lwt;lewat
maaci;terima kasih
maap;maaf
mabok;mabuk
maen;main
maenya;mainnya
mafia;kejahatan
mager;malas gerak
maharani;mahal
maho;homoseksual
mainstream;sangat umum
mak;maksimal
maksa;paksa
males;malas
maluin;malu
mamak;ibu
managing;manajemen
mang;memang
manggil;panggil
mangkanya;makanya
mantab;mantap
mantap;mantap
marquee player;pemain populer
masak;masa
masiv;masif
maslah;masalah
masukin;masukan
masyarak;masyarakat
masyarakatpun;masyarakat pun
masyarakt;masyarakat
max;maksimal
mbakas;demi
mbantu;membantu
mbikin;membuat
mbok ben;bisa gitu
mboten;tidak
mcem;macam
mcm;macam
mecat;pecat
medsos;media sosial
mehong;mahal
mejeng;diam
melintir;tergulung
meloby;bernegosiasi
meloka;menolak
melontrakan;melontarkan
mempertanyakn;mempertanyakan 
menangin;menang
menarik;bagus
mencolok;terlihat jelas
mencopot;melepas
mendiamkan;diam
mending;dari pada
meneketehe;tidak tahu
menel;centil
menepis;menolak
mengaman;aman
mengatasnamakan;memakai nama
mengbal;sepakbola
mengerti;paham
menggolkan;menyukseskan
menggoreng;membahas
menghianati;mengkhianati
mengoreng;membahas
mengungumkan;mengumumkan
menjajnjikan;menjanjikan
menjawb;menjawab
menolaj;tolak
menolak;tolak
mentri;menteri
menunjukkn;menunjukan
menurutku;menurut saya
menyalahkab;menyalahkan
merubah;mengubah
mestibya;mestinya
mewacakan;mewacanakan
mgkin;mungkin
mgkn;mungkin
mhimbau;menghimbau
mhs;mahasiswa
mhsw;mahasiswa
mikirnya;pikirnya
milih;pilih
mimin;admin
min;admin
minim;sedikit
minn;admin
minus;dikurangi
missi;misi
mjd;menjadi
mkn;makan
mknya;makanya
mksd;maksud
mksh;terima kasih
mlm;malam
mls;malas
mmang;memang
mmbenci;membenci
mmg;memang
mmnuhi;memenuhi
mn;mana
mndukung;mendukung
mngp;menganggap
mngusulkan;mengusulkan
mnjalankan;menjalankan
mnjatuhkan;menjatuhkan
mntap;hebat
mntp;hebat
mnyampaikan;menyampaikan
mnyatakan;menyatakan
mnyerang;menyerang
mo;mau
moal;tidak
modus;maksud lain
momok;takut
motif;pola
motone;mata
mreka;mereka
mrk;mereka
mrka;mereka
mrnunda;menunda
mrpkan;merupakan
mrpkn;merupakan
msa;masa
msalah;masalah
msalh;masalah
msh;masih
mslah;masalah
mslh;masalah
much;lebih
mulu;terus
mundakno;naiknya
mure;murah
musti;mesti
mw;mau
naikin;menaikan
nak;di
nalas;nalar
nampaknya;tampaknya
nanya;tanya
naon;apa
napah;kenapa
nasbung;nasi bungkus
nasehat;nasihat
ndak;tidak
ndan;dan
ndobol;bohong
nekat;berani
neng;kapan
never;tidak pernah
new;baru
news;berita
ngaco;kacau
ngajak;mengajak
ngaku;mengaku
ngapa;mengapa
ngapunten;maaf
ngarah;menuju
ngarep;berharap
ngasih;kasih
ngatur;mengurus
ngebandingin;membandingkan
ngebet;ingin sekali
ngeh;paham
ngejeplak;menjiplak
ngelanggar;melanggar
ngelarang;melarang
ngeles;alasan
ngeliat;melihat
ngene;ini
ngerasa;merasa
ngeributin;meributkan
ngerti;paham
ngeuh;paham
ngeyel;keras kepala
ngga;tidak
nggak;tidak
nggiring;giring
nggk;tidak
nggu;menunggu
ngibul;membohongi
ngk;tidak
ngmng;omong
ngmong;bicara
ngomel;marah
ngomng;omong
ngomong;omong
ngomongan;omong
ngomongin;membicarakan
ngomongnya;bicaranya
ngotot;paksa
ngributin;meributkan
ngubah;ubah
ngulama;ulama
ngumpet;bersembunyi
ngurus;mengurus
ngurusi;mengurus
nic;penggemar agnezmo
nice;bagus
nicong;penggemar agnezmo
nmr;nomor
nnak;ke
nntn;nonton
no;tidak
nolak;tolak
nongkrong;kumpul-kumpul
nonton;tonton
norakkkk;heran
noted;dicatat
nothing;tidak ada
now;sekarang
ntap;mantap
ntar;nanti
nti;nanti
ntn;nonton
nton;nonton
nu;yang
numpas;tumpas
nunggak;terhambat
nunggu;menunggu
nuntut;tuntut
nurunin;menurunkan
nurut;patuh
ny;nya
nyabu;memakai sabu
nyalahi;menyalahi
nyalahin;menyalahkan
nyalon;mencalonkan
nyapres;mencalonkan presiden
nyata;asli
nyebelin;menyebalkan
nyerahin;mempercayakan
nyinyirin;nyinyir
nyuarakeun;menyuarakan
nyungsep;jatuh
nyuruh;menyuruh
nyuwon;meminta
official;resmi
oiya;oh ya
ojolali;jangan lupa
olh;oleh
oligakri;oligarki
omnifora;omnivora
omong;ngomong
online;daring
ono;ada
optimistis;percaya
or;atau
ora;tidak
org;orang
orovokasi;provokasi
overall;keseluruhan
pakde;bapak
pakdhe;bapak
pake;pakai
palbis;paling bisa
paniiiik;panik
panjenengan;anda
panteslah;pantaslah
parte;partai
pasrah;menyerahkan
pattynama;shayne pattynama
pcr;pacar
pcran;pacaran
pd;pada
pda;pada
pdhal;padahal
pdhl;padahal
pebruari;februari
pejabat;pegawai
pekaes;pks
pekok;bodoh
pelakyou;pelaku
pemr;pemerintah
penasaran;ingin tahu
pengen;ingin
penghianat;pengkhianat
penumdaan;penundaan
penundaana;penundaan
penyerahan;memberikan
perbanjangan;perpanjangan
percayaan;percaya
peres;palsu
perikde;periode
periodelagi;periode lagi
perpanjamg;perpanjangan
perpanjangaan;perpanjangan
perpanjanggan;perpanjangan
perpanjmg;perpanjang
pesik;pesik kediri
pg;pagi
pgg;pegang
php;pembohong
picek;rusak
pie;bagaimana
pildun;piala dunia
pingin;ingin
pinter;pintar
pk;pakai
pke;pakai
play;bermain
plg;pulang
plonga plongo;terkejut
pls;tolong
plus;tambah
pnh;pernah
pntg;penting
pnundaan;penundaan
pny;punya
point;inti
pointny;intinya
politics;politik
porak;rusak
positive thingking;berpikir positif
postingan;unggahan
power;kuasa
prakompetisi;persaingan
praktek;praktik
prasmul;perasaan saja
prcya;percaya
predisen;presiden
preiode;periode
prengkap;perangkap
prihatin;khawatir
prilaku;perilaku
priode;periode
private;pribadi
prlu;perlu
prnh;pernah
problem;masalah
provokssi;provokasi
prpanjangan;perpanjangan
pst;pesat
ptovokasi;provokasi
ptuh;patuh
puas;gembira
publik;umum
pundasi;pondasi
puyeng;pusing
ra;tidak
rakyatmarah;rakyat marah
rancu;kacau
reasoneble;pantas
recokin;ganggu
recovery;penyembuhan
refrensi;petunjuk
regulasi;pengaturan
regulasi;peraturan
relate;sesuai
rempong;repot
repormasi;reformasi
reporter;penyusun laporan
reposted;diunggah lagi
representatif;tepat
resiko;risiko
respek;hormat
respons;tanggapan
response;respons
resufle;perombakan
reward;hadiah
rformasi;reformasi
ri;republik indonesia
ribet;susah
ributin;meributkan
rilis;resmi
rill;nyata
riuh;berisik
rojo;raja
ros;terus
rotfl;tertawa
rugi;menderita
sabeb;bebas
saiki;sekarang
salamm;salam
salh;salah
sambut;menerima
sampa;sampai
sampe;sampai
sampean;anda
sangsi;sanksi
sangsinya;sanksinya
sanksi;hukuman
saranya;sarannya
satusewu;seratus ribu
sbg;sebagai
sblm;sebelum
sbnrnya;sebenarnya
sc;tangkapan layar
scandal;memalukan
schedule;jadwal
schedulenya;jadwalnya
scouting;kepanduan
screenshot;tangkapan layar
sdg;sedang
sdgkan;sedangkan
sdgkn;sedangkan
sdh;sudah
season;sesi
sebenernya;sebenarnya
seharus;seharusnya
sekedar;sekadar
sela;celah
selamatkeun;selamatkan
selamtin;selamatkan
selebritis;terkenal
selip;meluangkan
selow;santai
semagat;semangat 
sempa;:ada waktu
senenagane;kesenangan
seng;yang
sengit;dahsyat
sengojo;sengaja
sensitifitas;sensitivitas
seorg;seorang
sepedah;sepeda
sepertiku;seperti saya
seremonial;pembukaan
sertif;sertifikat
service;layanan
setback;kemunduran
setop;berhenti
setres;stres
setujuannya;setuju
sgr;segera
sgt;sangat
sgtu;segitu
sgtuny;segitunya
share;bagi
sharing;berbagi
shg;sehingga
showone;pergi
sien;takut
silahkan;silakan
simbah;basah
simpel;sederhana
simpulin;simpulkan
sipesek;si pesek
sj;saja
sjjurny;sejujurnya
sk;surat keputusan
skali;sekali
skema;bagan
skg;sekarang
skrg;sekarang
skrisut;tangkapan layar
slalu;selalu
slh;salah
sll;selalu
sm;sama
smg;semoga
smga;semoga
smp;sampai
smw;semua
smwnya;semuanya
sndri;sendiri
sobat;sahabat
socmed;media sosial
sold;habis
songong;sombong
sono;sana
sopo;siapa
sound;suara
sperti;seperti
sports;olahraga
sprti;seperti
sprtnya;sepertinya
spt;seperti
spy;supaya
ss;cuplikan layar
ss;tangkapan layar
ssb;sekolah sepakbola
ssuaikn;sesuaikan
ssuikn;sesuaikan
stage;panggung
star;mulai
statemen;pernyataan
statement;pernyataan
stetment;pernyataan
stj;setuju
stlh;setelah
stop;berhenti
stoplah;berhenti
stuju;setuju
sty;shin tae yong
subtansi;substansi
subtansial;sesungguhnya
sudi;rela
sumbu;benang
super;hebat
support;dukung
supporternya;pendukungnya
survey;survei
sy;saya
sya;saya
syahwat;nafsu
syg;sayang
tak;tidak
takutny;takutnya
tanding;berlawanan
tau;tahu
taun;tahun
taunya;tahunya
tc;pusat pelatihan
td;tadi
tdk;tidak
team;tim
tegasan;tegas
tehnik;teknik
teko;datang
temen;teman
tenan;banget
tengsin;malu
tepis;tolak
terdekatny;terdekatnya
teriakan;teriak
terimakasih;terima kasih
testing;pengujian
tetep;tetap
tetiba;tiba tiba
teu;engga
tgas;tegas
tgl;tanggal
th;tahun
that;itu
thd;terhadap
thdp;terhadap
thn;tahun
thr;tunjangan hari raya
ticketing;beli tiket
tidakngiler;tidak nafsu
tidk;tidak
tivi;tv
tkt;takut
tkut;takut
tlg;tolong
toak;tolak 
tp;tapi
tpi;tapi
tpii;tapi
trending;berita hangat
triliyun;triliun
trjadi;terjadi
trs;terus
truck;mobil besar
trunanya;pemudanya
trus;terus
tsb;tersebut
tst;tersebut
ttaaapi;tapi
ttg;tentang
ttp;tetap
tuk;untuk
tunjukkn;tunjukan
turunany;turunannya
turunin;turunkan
tv;televisi
tw;tahu
typo;salah tulis
uda;sudah
uda;udah
udh;sudah
udh;udah
umik;bicara
undah;undang
unfaedah;tidak berguna
univ;universitas
unt;untuk
untk;untuk
unyu;menggemaskan
update;memperbarui
urg;saya
usul;saran
uteg;otak
utk;untuk
venue;tempat
viral;menyebar luas
vs;melawan
waee;saja
waja;wajah
wajahh;wajah
wajar;biasa
waktuny;waktunya
waline;walinya
wani;berani
want;mau
waras;sehat
warkop;warung kopi
wat;untuk
water;air
way;cara
wes;udah
with;dengan
wkt;waktu
woles;santai
working;kerja
wtf;apa
x;kali
y;ya
yahc;yah
ye;ya
yg;yang
yng;yang
you;anda
you;kamu
yth;yang terhormat
zulkifly;zulkifli
